MDA-MB-231 cells - No treatment [Sample 1]	MDA-MB-231 cells - only 5-ALA [Sample 2]	MDA-MB-231 cells - FECH siRNA + 5-ALA [Sample 3]	MDA-MB-231 cells - Allstar siRNA + 5-ALA [Sample 4]	MDA-MB-231 cells - No treatment [Sample 5]	MDA-MB-231 cells - only 5-ALA [Sample 6]	MDA-MB-231 cells - FECH siRNA + 5-ALA [Sample 7]	MDA-MB-231 cells - Allstar siRNA + 5-ALA [Sample 8]	MDA-MB-231 cells - No treatment [Sample 9]	MDA-MB-231 cells - only 5-ALA [Sample 10]	MDA-MB-231 cells - FECH siRNA + 5-ALA [Sample 11]	MDA-MB-231 cells - Allstar siRNA + 5-ALA [Sample 12]	
7897890	308.7568	324.0521	328.5789	304.7117	308.121	329.1567	337.8303	287.1827	338.3594	343.6465	349.9783	299.7976
7897953	121.7914	110.9835	125.7585	108.5872	108.6202	118.6935	147.9374	125.1578	138.098	126.1323	131.5747	122.9187
7897955	39.9284	40.7929	38.8249	39.1763	39.146	40.4775	40.2036	42.267	47.6025	38.9975	42.3573	43.5252
7897960	77.7472	76.4819	77.2268	69.7737	78.5656	74.2484	99.4374	69.8376	76.8378	64.3931	77.0417	72.9156
7897964	39.6398	43.3491	34.4646	39.1664	39.2041	34.4646	36.0863	41.5082	37.0787	39.1444	37.4636	42.6399
7897966	59.9837	61.6127	59.4894	61.3789	56.0118	60.2392	57.5829	64.8785	64.8749	61.6898	62.2052	56.9454
7897974	93.9177	100.0637	78.8003	99.1647	99.3192	86.9677	86.0499	104.0634	101.3717	97.9053	92.6097	101.6387
7897978	38.2661	37.514	34.9747	35.8352	36.8297	36.832	37.0467	39.1329	38.0529	35.8082	38.7743	35.4928
7897987	49.7497	43.7056	40.5558	37.901	42.5634	39.9088	47.0012	42.2722	52.9041	39.601	47.1573	46.31
7897991	130.5218	132.618	133.5979	128.6885	140.8087	132.574	134.9114	146.0272	146.9839	122.1714	134.5088	153.827
7897995	33.9851	31.6967	33.0265	34.8841	32.5148	34.0201	30.8655	33.2214	33.3939	34.8285	34.0587	33.1839
7897997	82.6028	102.4061	88.0334	70.0645	87.358	97.0844	91.9658	97.8674	97.1209	80.7633	83.2873	98.3406
7898002	73.6587	90.3355	82.1125	61.8338	81.79	86.8403	84.938	84.6657	91.2763	77.2482	82.374	94.1816
7898007	52.6596	54.8314	55.1883	51.4826	53.7665	52.5388	53.2677	52.5681	55.2843	56.1197	54.2818	57.5287
7898012	47.8518	50.4111	49.5701	48.095	48.8333	47.7583	48.4149	48.3738	49.6965	50.06	49.5438	52.8892
7898020	61.8495	65.3501	61.7654	57.3718	67.2739	67.4935	58.0933	67.6097	65.2305	63.2279	64.6509	68.1327
7898026	56.0739	59.8296	55.1479	54.628	52.2466	52.5105	53.4342	51.8081	52.5548	55.1905	56.099	51.6152
